id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-05-18 20:46:30.966751,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-05-18 21:49:01.616317,,0,,,,f,,{},rogers_agent,1,1
3,2019-05-18 22:31:28.120548,,0,,,,f,,{},rogers_agent,1,2
4,2019-05-18 22:56:14.72107,,1,,,,t,2019-05-18 23:21:28.560687,{},rogers_agent,1,3
5,2019-05-18 23:21:34.2653,,1,,,,f,,{},rogers_agent,1,4
6,2019-05-18 23:57:51.821703,,1,,,,f,,{},rogers_agent,1,5
7,2019-05-19 01:00:50.150671,,2,,,,f,,{},rogers_agent,1,6
8,2019-05-19 02:42:43.611495,,2,,,,f,,{},rogers_agent,1,7
