id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-05-18 21:49:01.678485,,,,,,f,,{},1,1,1,2,1,2019-05-18 21:49:01.721467,received
2,2019-05-18 21:49:01.713844,,,,,,f,,{},1,2,1,2,1,2019-05-18 21:49:01.721517,received
4,2019-05-18 22:31:28.22751,,,,,,f,,{},1,5,1,2,1,,pending
3,2019-05-18 22:31:28.192416,,,,,,f,,{},2,4,1,3,1,2019-05-18 22:31:28.234341,received
5,2019-05-18 22:31:28.229007,,,,,,f,,{},2,5,1,3,1,2019-05-18 22:31:28.234365,received
6,2019-05-18 22:56:14.792675,,,,,,t,2019-05-18 23:21:28.587686,{},3,6,3,4,1,2019-05-18 22:56:14.849705,received
7,2019-05-18 22:56:14.813637,,,,,,t,2019-05-18 23:21:28.593594,{},4,3,2,4,1,2019-05-18 22:56:14.84973,received
8,2019-05-18 22:56:14.843045,,,,,,t,2019-05-18 23:21:28.593566,{},4,3,2,4,1,2019-05-18 22:56:14.849745,received
9,2019-05-18 23:21:34.324718,,,,,,f,,{},5,6,3,5,1,2019-05-18 23:21:34.367459,received
10,2019-05-18 23:21:34.341226,,,,,,f,,{},6,3,2,5,1,2019-05-18 23:21:34.367489,received
11,2019-05-18 23:21:34.359136,,,,,,f,,{},6,3,2,5,1,2019-05-18 23:21:34.367504,received
14,2019-05-18 23:57:51.90432,,,,,,f,,{},6,3,2,5,1,,pending
12,2019-05-18 23:57:51.871615,,,,,,f,,{},7,6,3,6,1,2019-05-18 23:57:51.909118,received
13,2019-05-18 23:57:51.887006,,,,,,f,,{},8,3,2,6,1,2019-05-18 23:57:51.909139,received
15,2019-05-18 23:57:51.905694,,,,,,f,,{},8,3,2,6,1,2019-05-18 23:57:51.909153,received
16,2019-05-19 01:00:50.210537,,,,,,f,,{},9,8,6,7,1,2019-05-19 01:00:50.266226,received
17,2019-05-19 01:00:50.232532,,,,,,f,,{},10,7,5,7,1,2019-05-19 01:00:50.266248,received
18,2019-05-19 01:00:50.262071,,,,,,f,,{},10,7,5,7,1,2019-05-19 01:00:50.266276,received
21,2019-05-19 02:42:43.716199,,,,,,f,,{},10,7,5,7,1,,pending
19,2019-05-19 02:42:43.66738,,,,,,f,,{},11,8,6,8,1,2019-05-19 02:42:43.726219,received
20,2019-05-19 02:42:43.685621,,,,,,f,,{},12,7,5,8,1,2019-05-19 02:42:43.726261,received
22,2019-05-19 02:42:43.718549,,,,,,f,,{},12,7,5,8,1,2019-05-19 02:42:43.726292,received
