id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-05-18 21:49:01.661894,,,,,,f,,{},1,2,1
2,2019-05-18 22:31:28.177141,,,,,,f,,{},1,3,1
3,2019-05-18 22:56:14.772846,,,,,,t,2019-05-18 23:21:28.580354,{},3,4,1
4,2019-05-18 22:56:14.80096,,,,,,t,2019-05-18 23:21:28.587718,{},2,4,1
5,2019-05-18 23:21:34.311521,,,,,,f,,{},3,5,1
6,2019-05-18 23:21:34.331833,,,,,,f,,{},2,5,1
7,2019-05-18 23:57:51.861037,,,,,,f,,{},3,6,1
8,2019-05-18 23:57:51.877215,,,,,,f,,{},2,6,1
9,2019-05-19 01:00:50.194461,,,,,,f,,{},6,7,1
10,2019-05-19 01:00:50.218269,,,,,,f,,{},5,7,1
11,2019-05-19 02:42:43.655443,,,,,,f,,{},6,8,1
12,2019-05-19 02:42:43.674425,,,,,,f,,{},5,8,1
