id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-05-18 22:20:58.802008,,,,,,f,,{},question,1,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""2"",""technical_issues"":""No."",""confusion"":""No."",""engagement"":""8"",""difficulty"":""4""}"
2,2019-05-18 22:45:47.216527,,,,,,f,,{},question,2,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""2""}"
3,2019-05-18 23:30:14.990273,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""5"",""technical_issues"":""No"",""confusion"":""No I di wonder if there should be a word count so one knows if they written enough"",""engagement"":""10"",""difficulty"":""6""}"
4,2019-05-19 00:08:37.408232,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""6"",""technical_issues"":""none"",""confusion"":""no problems"",""engagement"":""5"",""difficulty"":""6""}"
5,2019-05-19 01:06:18.615552,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""4"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""2""}"
6,2019-05-19 03:02:37.021914,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""1"",""ideology"":""6"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""1""}"
