id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-05-18 21:48:53.129496,,,,,,f,,{},participant,456b0185209c19d81445ae49da882f91,mturk,1,3IO1LGZLKCI7YKP962LWSNJXORE86X,1:3IO1LGZLKCI7YKP962LWSNJXORE86X,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-18 22:20:59.497763,,,working
2,2019-05-18 22:31:20.01697,,,,,,f,,{},participant,8a05c37183d652f91a69bff22cb54341,mturk,2,3BF51CHDTYV5DK4N7HZLWZ25E7NH0P,2:3BF51CHDTYV5DK4N7HZLWZ25E7NH0P,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-18 22:45:47.333583,,,working
3,2019-05-18 22:56:05.693962,,,,,,f,,{},participant,d6bbde451f184d482333f2337874f0b0,mturk,3,3OB0CAO74KA2AF08FPAUORWPQK5YHA,3:3OB0CAO74KA2AF08FPAUORWPQK5YHA,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-18 23:21:28.553348,,,replaced
4,2019-05-18 23:21:27.862639,,,,,,f,,{},participant,7de3214a9cf5a3c5e94b52602b73018f,mturk,4,3OB0CAO74KA2AF08FPAUORWPQK5YHA,4:3OB0CAO74KA2AF08FPAUORWPQK5YHA,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-18 23:30:15.687611,,,working
5,2019-05-18 23:57:45.222919,,,,,,f,,{},participant,6b912cae11a6958785f9238c27a6ca9b,mturk,5,3G2UL9A02GZ3Y6KQWXTQENN2D7M67M,5:3G2UL9A02GZ3Y6KQWXTQENN2D7M67M,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-19 00:08:37.587729,,,working
6,2019-05-19 00:28:04.37694,,,,,,f,,{},participant,e5323dc16d2a492816ea7ab05d1a8db9,mturk,6,39N5ACM9HH8FMVQOQQQJYJ5P3269PD,6:39N5ACM9HH8FMVQOQQQJYJ5P3269PD,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-19 01:06:18.748342,,,working
7,2019-05-19 02:42:39.364092,,,,,,f,,{},participant,809b5ffb18cb69ce9551857440706656,mturk,7,3IO1LGZLKCI7YKP962LWSNJXOSA68T,7:3IO1LGZLKCI7YKP962LWSNJXOSA68T,3SZYX62S5IL4SIMI1CEJYXEGMH275Y,live,2019-05-19 03:02:37.151108,,,working
