id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-05-19 21:19:01.895755,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-05-19 22:12:55.937358,,0,,,,f,,{},rogers_agent,1,1
3,2019-05-19 23:22:53.887881,,1,,,,f,,{},rogers_agent,1,2
4,2019-05-20 00:04:29.842796,,2,,,,t,2019-05-20 00:28:51.355868,{},rogers_agent,1,3
5,2019-05-20 00:28:52.50781,,2,,,,t,2019-05-20 01:30:50.976995,{},rogers_agent,1,4
6,2019-05-20 01:30:57.33275,,2,,,,f,,{},rogers_agent,1,5
7,2019-05-20 11:35:58.961349,,3,,,,f,,{},rogers_agent,1,6
8,2019-05-20 11:50:18.864885,,4,,,,f,,{},rogers_agent,1,7
