id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-05-19 22:12:42.334728,,,,,,f,,{},participant,a09d44115a7deb583e218b04f08d7771,mturk,1,3VZLGYJEYOVZ1VASGFUZ5KTLK9KZXX,1:3VZLGYJEYOVZ1VASGFUZ5KTLK9KZXX,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-19 22:19:11.596347,,,working
2,2019-05-19 23:22:50.16935,,,,,,f,,{},participant,580f2b7fa718855a1d43045f1fd75161,mturk,2,3OLQQLKKNVA0VGE73O1LT1KOL59EJV,2:3OLQQLKKNVA0VGE73O1LT1KOL59EJV,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-19 23:25:47.449431,,,working
3,2019-05-20 00:04:23.272227,,,,,,f,,{},participant,19671d9967afb10abe2ef7d1e117ef7b,mturk,3,3IO1LGZLKCI7YKP962LWSNJXOW168S,3:3IO1LGZLKCI7YKP962LWSNJXOW168S,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-20 00:28:51.348244,,,replaced
4,2019-05-20 00:28:50.591588,,,,,,f,,{},participant,748470f54eef0f317db0cb0034825d54,mturk,4,3IO1LGZLKCI7YKP962LWSNJXOW168S,4:3IO1LGZLKCI7YKP962LWSNJXOW168S,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-20 01:30:50.968862,,,replaced
5,2019-05-20 01:30:50.282326,,,,,,f,,{},participant,13a3cf0de34b6b61d9e39473b025a36f,mturk,5,3IO1LGZLKCI7YKP962LWSNJXOW168S,5:3IO1LGZLKCI7YKP962LWSNJXOW168S,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-20 01:34:11.150554,,,working
6,2019-05-20 11:35:56.676784,,,,,,f,,{},participant,35f3834a00ead431723638721e5c0605,mturk,6,35USIKEBNU1S1RCDC4AFAK9SDWM6NC,6:35USIKEBNU1S1RCDC4AFAK9SDWM6NC,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-20 11:37:52.770582,,,working
7,2019-05-20 11:50:10.12677,,,,,,f,,{},participant,e8957c99eb5cbdbf549d5de2c4f3698f,mturk,7,3QFUFYSY9102YCVIVSYN5HG5FEY4FM,7:3QFUFYSY9102YCVIVSYN5HG5FEY4FM,31YWE12TE2XDU16S7IXEQG50FHW7XU,live,2019-05-20 11:55:18.801014,,,working
