id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-05-19 22:12:55.986594,,,,,,f,,{},1,2,1
2,2019-05-19 23:22:53.968636,,,,,,f,,{},2,3,1
3,2019-05-20 00:04:29.91577,,,,,,t,2019-05-20 00:28:51.370024,{},3,4,1
4,2019-05-20 00:28:52.569211,,,,,,t,2019-05-20 01:30:50.993018,{},3,5,1
5,2019-05-20 01:30:57.606274,,,,,,f,,{},3,6,1
6,2019-05-20 11:35:59.053848,,,,,,f,,{},6,7,1
7,2019-05-20 11:50:19.004519,,,,,,f,,{},7,8,1
