id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-05-19 05:38:00.190237,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""2"",""ideology"":""10"",""technical_issues"":""none"",""confusion"":""none"",""engagement"":""10"",""difficulty"":""1""}"
2,2019-05-19 06:24:29.102207,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""ideology"":""3"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""3""}"
3,2019-05-19 08:42:08.494075,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""0"",""ideology"":""10"",""technical_issues"":""No."",""confusion"":""No."",""engagement"":""10"",""difficulty"":""4""}"
4,2019-05-19 10:26:33.254857,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""9"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""1""}"
5,2019-05-19 10:44:24.225775,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""8"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""6""}"
6,2019-05-19 11:01:16.180828,,,,,,f,,{},question,9,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""technical_issues"":"""",""confusion"":"""",""engagement"":""10"",""difficulty"":""1""}"
7,2019-05-19 14:05:30.156426,,,,,,f,,{},question,10,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""3"",""ideology"":""8"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""8"",""difficulty"":""4""}"
8,2019-05-19 14:57:15.165862,,,,,,f,,{},question,13,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""3"",""ideology"":""5"",""technical_issues"":""None"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""5""}"
9,2019-05-19 15:29:17.217796,,,,,,f,,{},question,14,1,questionnaire,"{""language"":""Yes"",""education"":""8"",""age"":""2"",""ideology"":""6"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""7"",""difficulty"":""2""}"
