id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-05-19 02:43:00.949082,,,,,,t,2019-05-19 03:02:04.573122,{},1,1,1,2,1,2019-05-19 02:43:00.978113,received
2,2019-05-19 02:43:00.972804,,,,,,t,2019-05-19 03:02:04.573092,{},1,2,1,2,1,2019-05-19 02:43:00.978137,received
3,2019-05-19 03:02:14.920961,,,,,,t,2019-05-19 03:21:19.129106,{},2,3,1,3,1,2019-05-19 03:02:14.955936,received
4,2019-05-19 03:02:14.950831,,,,,,t,2019-05-19 03:21:19.129084,{},2,4,1,3,1,2019-05-19 03:02:14.955962,received
5,2019-05-19 03:21:22.028588,,,,,,f,,{},3,5,1,4,1,2019-05-19 03:21:22.05333,received
6,2019-05-19 03:21:22.048856,,,,,,f,,{},3,6,1,4,1,2019-05-19 03:21:22.053372,received
9,2019-05-19 05:27:23.29416,,,,,,f,,{},3,8,1,4,1,,pending
7,2019-05-19 05:27:23.2544,,,,,,f,,{},4,7,1,5,1,2019-05-19 05:27:23.301757,received
8,2019-05-19 05:27:23.292255,,,,,,f,,{},4,8,1,5,1,2019-05-19 05:27:23.301805,received
10,2019-05-19 06:18:30.261986,,,,,,f,,{},5,9,5,6,1,2019-05-19 06:18:30.285888,received
11,2019-05-19 08:37:21.947118,,,,,,f,,{},7,9,5,7,1,2019-05-19 08:37:21.982725,received
12,2019-05-19 10:21:32.075032,,,,,,f,,{},9,11,7,8,1,2019-05-19 10:21:32.16409,received
13,2019-05-19 10:21:32.090352,,,,,,f,,{},10,10,6,8,1,2019-05-19 10:21:32.164112,received
14,2019-05-19 10:21:32.158638,,,,,,f,,{},10,10,6,8,1,2019-05-19 10:21:32.164127,received
17,2019-05-19 10:34:31.676709,,,,,,f,,{},10,10,6,8,1,,pending
15,2019-05-19 10:34:31.637134,,,,,,f,,{},11,11,7,9,1,2019-05-19 10:34:31.683496,received
16,2019-05-19 10:34:31.654335,,,,,,f,,{},12,10,6,9,1,2019-05-19 10:34:31.683532,received
18,2019-05-19 10:34:31.678118,,,,,,f,,{},12,10,6,9,1,2019-05-19 10:34:31.683565,received
19,2019-05-19 10:57:04.115902,,,,,,f,,{},13,13,9,10,1,2019-05-19 10:57:04.154013,received
20,2019-05-19 10:57:04.132294,,,,,,f,,{},14,12,8,10,1,2019-05-19 10:57:04.154036,received
21,2019-05-19 10:57:04.150483,,,,,,f,,{},14,12,8,10,1,2019-05-19 10:57:04.15405,received
25,2019-05-19 14:00:59.364228,,,,,,f,,{},14,12,8,10,1,,pending
22,2019-05-19 14:00:59.308425,,,,,,f,,{},15,13,9,11,1,2019-05-19 14:00:59.368534,received
23,2019-05-19 14:00:59.330103,,,,,,f,,{},16,12,8,11,1,2019-05-19 14:00:59.368568,received
24,2019-05-19 14:00:59.362746,,,,,,f,,{},16,12,8,11,1,2019-05-19 14:00:59.368598,received
26,2019-05-19 14:15:49.30813,,,,,,t,2019-05-19 14:42:27.863841,{},17,15,11,12,1,2019-05-19 14:15:49.377412,received
27,2019-05-19 14:15:49.341792,,,,,,t,2019-05-19 14:42:27.871875,{},18,14,10,12,1,2019-05-19 14:15:49.377451,received
28,2019-05-19 14:15:49.372366,,,,,,t,2019-05-19 14:42:27.871917,{},18,14,10,12,1,2019-05-19 14:15:49.377483,received
29,2019-05-19 14:42:37.158768,,,,,,f,,{},19,15,11,13,1,2019-05-19 14:42:37.200072,received
30,2019-05-19 14:42:37.178083,,,,,,f,,{},20,14,10,13,1,2019-05-19 14:42:37.200098,received
31,2019-05-19 14:42:37.195949,,,,,,f,,{},20,14,10,13,1,2019-05-19 14:42:37.200112,received
34,2019-05-19 14:49:12.392478,,,,,,f,,{},20,14,10,13,1,,pending
32,2019-05-19 14:49:12.357006,,,,,,f,,{},21,15,11,14,1,2019-05-19 14:49:12.398363,received
33,2019-05-19 14:49:12.372311,,,,,,f,,{},22,14,10,14,1,2019-05-19 14:49:12.398384,received
35,2019-05-19 14:49:12.394058,,,,,,f,,{},22,14,10,14,1,2019-05-19 14:49:12.398399,received
