id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-05-19 02:43:00.933247,,,,,,t,2019-05-19 03:02:04.566037,{},1,2,1
2,2019-05-19 03:02:14.906602,,,,,,t,2019-05-19 03:21:19.125667,{},1,3,1
3,2019-05-19 03:21:22.021337,,,,,,f,,{},1,4,1
4,2019-05-19 05:27:23.242706,,,,,,f,,{},1,5,1
5,2019-05-19 06:18:30.250335,,,,,,f,,{},5,6,1
6,2019-05-19 06:18:30.267782,,,,,,f,,{},4,6,1
7,2019-05-19 08:37:21.930078,,,,,,f,,{},5,7,1
8,2019-05-19 08:37:21.956787,,,,,,f,,{},4,7,1
9,2019-05-19 10:21:32.062248,,,,,,f,,{},7,8,1
10,2019-05-19 10:21:32.081588,,,,,,f,,{},6,8,1
11,2019-05-19 10:34:31.621082,,,,,,f,,{},7,9,1
12,2019-05-19 10:34:31.644672,,,,,,f,,{},6,9,1
13,2019-05-19 10:57:04.106362,,,,,,f,,{},9,10,1
14,2019-05-19 10:57:04.121318,,,,,,f,,{},8,10,1
15,2019-05-19 14:00:59.294301,,,,,,f,,{},9,11,1
16,2019-05-19 14:00:59.315257,,,,,,f,,{},8,11,1
17,2019-05-19 14:15:49.279589,,,,,,t,2019-05-19 14:42:27.858032,{},11,12,1
18,2019-05-19 14:15:49.324535,,,,,,t,2019-05-19 14:42:27.863892,{},10,12,1
19,2019-05-19 14:42:37.142071,,,,,,f,,{},11,13,1
20,2019-05-19 14:42:37.166666,,,,,,f,,{},10,13,1
21,2019-05-19 14:49:12.347338,,,,,,f,,{},11,14,1
22,2019-05-19 14:49:12.363003,,,,,,f,,{},10,14,1
