id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-05-19 02:37:12.096412,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-05-19 02:43:00.875634,,0,,,,t,2019-05-19 03:02:04.554462,{},rogers_agent,1,1
3,2019-05-19 03:02:14.838793,,0,,,,t,2019-05-19 03:21:19.118158,{},rogers_agent,1,2
4,2019-05-19 03:21:21.979925,,0,,,,f,,{},rogers_agent,1,3
5,2019-05-19 05:27:23.140455,,0,,,,f,,{},rogers_agent,1,4
6,2019-05-19 06:18:30.210416,,1,,,,f,,{},rogers_agent,1,5
7,2019-05-19 08:37:21.874651,,1,,,,f,,{},rogers_agent,1,6
8,2019-05-19 10:21:32.01894,,2,,,,f,,{},rogers_agent,1,7
9,2019-05-19 10:34:31.565225,,2,,,,f,,{},rogers_agent,1,8
10,2019-05-19 10:57:04.069035,,3,,,,f,,{},rogers_agent,1,9
11,2019-05-19 14:00:59.232987,,3,,,,f,,{},rogers_agent,1,10
12,2019-05-19 14:15:49.175373,,4,,,,t,2019-05-19 14:42:27.844437,{},rogers_agent,1,11
13,2019-05-19 14:42:37.081948,,4,,,,f,,{},rogers_agent,1,12
14,2019-05-19 14:49:12.307646,,4,,,,f,,{},rogers_agent,1,13
